"accuracy","avg_rt","correct","correct_key_time","correct_response","count_experiment","dis_pos","form_response","response","response_key_energy","response_key_time","response_time","subject_nr","subject_parity","test_session","total","total_correct"
"0","50000","0","0","space","0","-160","Isman ","None","NA","None","50000","1","odd","speed_test","NA","0"
"50","48908.5","1","1","1","0","160","Isman ","1","NA","1","47817","1","odd","speed_test","NA","1"
"66.66666666666667","32810.333333333336","1","1","2","0","-160","Isman ","2","NA","2","614","1","odd","speed_test","NA","2"
"50","24672.75","0","0","2","0","-160","Isman ","1","NA","1","260","1","odd","speed_test","NA","2"
"60","19795","1","1","2","0","-160","Isman ","2","NA","2","284","1","odd","speed_test","NA","3"
"66.66666666666667","16534.333333333332","1","1","1","0","160","Isman ","1","NA","1","231","1","odd","speed_test","NA","4"
"57.142857142857146","14343.714285714286","0","0","2","0","-160","Isman ","None","NA","None","1200","1","odd","speed_test","NA","4"
"50","12700.75","0","0","1","0","-32","Isman ","None","NA","None","1200","1","odd","speed_test","NA","4"
"44.44444444444444","11422.888888888889","0","0","1","0","320","Isman ","None","NA","None","1200","1","odd","speed_test","NA","4"
"40","10400.6","0","0","2","0","-160","Isman ","None","NA","None","1200","1","odd","speed_test","NA","4"
"36.36363636363637","9564.181818181818","0","0","1","0","320","Isman ","None","NA","None","1200","1","odd","speed_test","NA","4"
"33.333333333333336","8867.166666666666","0","0","2","0","-320","Isman ","None","NA","None","1200","1","odd","speed_test","NA","4"
"30.76923076923077","8277.384615384615","0","0","1","0","320","Isman ","None","NA","None","1200","1","odd","speed_test","NA","4"
"28.571428571428573","7771.857142857143","0","0","2","0","32","Isman ","None","NA","None","1200","1","odd","speed_test","NA","4"
